Date,Open,High,Low,Close,Volume,Adj Close
2015-12-04,25.110001,25.41,25.07,25.389999,1432100,25.389999
2015-12-03,25.629999,25.74,25.18,25.25,1750700,25.25
2015-12-02,25.690001,25.700001,25.33,25.40,2038500,25.40
2015-12-01,26.200001,26.360001,26.15,26.200001,603100,26.200001
2015-11-30,25.950001,26.040001,25.83,25.92,882400,25.92
2015-11-27,26.57,26.74,26.459999,26.49,212100,26.49
2015-11-25,26.469999,26.58,26.459999,26.51,626200,26.51
2015-11-24,26.860001,27.040001,26.67,26.959999,673700,26.959999
2015-11-23,26.799999,27.040001,26.75,26.790001,645500,26.790001
2015-11-20,26.91,27.01,26.82,26.889999,520100,26.889999
2015-11-19,26.90,27.030001,26.799999,26.860001,567400,26.860001
2015-11-18,26.84,27.02,26.76,26.99,935100,26.99
2015-11-17,26.879999,27.24,26.73,26.870001,1471000,26.870001
2015-11-16,27.18,27.450001,27.15,27.440001,632200,27.440001
2015-11-13,27.51,27.58,27.24,27.309999,771500,27.309999
2015-11-12,28.02,28.110001,27.83,27.870001,528800,27.870001
2015-11-11,28.40,28.440001,28.190001,28.299999,568200,28.299999
2015-11-10,28.01,28.17,27.82,28.10,481500,28.10
2015-11-09,28.09,28.27,27.719999,27.870001,661800,27.870001
2015-11-06,27.870001,28.09,27.780001,28.049999,904500,28.049999
2015-11-05,28.450001,28.629999,28.26,28.35,536700,28.35
2015-11-04,28.549999,28.67,28.35,28.450001,886700,28.450001
2015-11-03,28.719999,29.08,28.719999,28.91,680400,28.91
2015-11-02,28.540001,28.940001,28.540001,28.879999,714100,28.879999
2015-10-30,28.530001,28.65,28.389999,28.40,718600,28.40
2015-10-29,28.16,28.25,27.33,28.10,1884900,28.10
2015-10-28,28.68,29.059999,28.530001,28.969999,951800,28.969999
2015-10-27,28.450001,28.639999,28.27,28.60,776400,28.60
2015-10-26,29.049999,29.08,28.82,28.940001,1271700,28.940001
2015-10-23,28.60,28.950001,28.290001,28.799999,1624500,28.799999
2015-10-22,28.459999,28.85,28.450001,28.74,1493700,28.74
2015-10-21,28.389999,28.469999,28.07,28.10,1438500,28.10
2015-10-20,27.25,27.34,27.10,27.23,563600,27.23
2015-10-19,27.35,27.450001,27.17,27.43,796400,27.43
2015-10-16,27.15,27.190001,26.85,27.18,763000,27.18
2015-10-15,26.59,27.00,26.549999,26.99,776700,26.99
2015-10-14,26.209999,26.370001,25.98,26.01,477700,26.01
2015-10-13,26.440001,26.77,26.389999,26.41,384200,26.41
2015-10-12,26.67,26.809999,26.549999,26.709999,746900,26.709999
2015-10-09,26.530001,26.639999,26.41,26.60,654600,26.60
2015-10-08,26.27,26.459999,26.01,26.42,1677200,26.42
2015-10-07,26.65,26.799999,26.41,26.76,593300,26.76
2015-10-06,26.389999,26.48,26.08,26.33,929900,26.33
2015-10-05,26.41,26.549999,26.280001,26.49,1831300,26.49
2015-10-02,25.42,25.77,24.860001,25.76,2212600,25.76
2015-10-01,24.799999,24.860001,24.530001,24.719999,1582000,24.719999
2015-09-30,24.23,24.530001,24.09,24.50,1074000,24.50
2015-09-29,23.35,23.66,23.26,23.610001,1673500,23.610001
2015-09-28,24.809999,24.83,23.870001,24.049999,3395700,24.049999
2015-09-25,25.73,25.83,25.17,25.34,1504100,25.34
2015-09-24,25.040001,25.059999,24.51,25.02,2705000,25.02
2015-09-23,25.02,25.120001,24.73,24.98,1825400,24.98
2015-09-22,25.059999,25.15,24.76,25.02,1215200,25.02
2015-09-21,25.57,25.76,25.35,25.459999,735100,25.459999
2015-09-18,25.76,25.91,25.309999,25.41,1247600,25.41
2015-09-17,26.549999,26.860001,26.389999,26.42,1484900,26.42
2015-09-16,25.950001,26.33,25.870001,26.139999,1127000,26.139999
2015-09-15,25.57,25.91,25.389999,25.84,1082800,25.84
